scope,source_id,pipeline_key,dataset_id,name,sector_or_category,audit_status,current_status,current_role,load_state,signals_total,signals_required,signals_optional,output_evidence_refs,recommendation,relevance,reason,url
current_registry,asset_disclosures,asset_disclosures,8tz7-h3eu,Declaración de activos - patrimonial servidores públicos,disclosures,not_in_open_data_audit,partial,promoted,not_loaded,0,0,0,0,keep_or_fix_deps,medium,"Promoted in registry, but current signal deps/output do not clearly use it; either wire it to signals or demote it.",https://www.datos.gov.co/d/8tz7-h3eu
current_registry,company_branches_nb3d,company_branches_nb3d,nb3d-v3n7,RUES - establecimientos y sucursales conectadas,identity,not_in_open_data_audit,partial,enrichment_only,loaded,0,0,0,0,review_context,medium,"Useful enrichment category, but no direct current signal dependency/output evidence was found.",https://www.datos.gov.co/d/nb3d-v3n7
current_registry,conflict_disclosures,conflict_disclosures,gbry-rnq4,Declaraciones conflictos de interés,disclosures,not_in_open_data_audit,partial,promoted,not_loaded,1,0,1,0,keep,high,"Promoted and visible in dependencies/output (1 signal refs, 0 evidence refs).",https://www.datos.gov.co/d/gbry-rnq4
current_registry,company_registry_c82u,company_registry_c82u,c82u-588k,Personas Naturales Personas Jurídicas y Entidades Sin Ánimo de Lucro,identity,not_in_open_data_audit,partial,promoted,loaded,4,4,0,24,keep,high,Required by 4 signal(s); removing it breaks materialization.,https://www.datos.gov.co/d/c82u-588k
current_registry,cuentas_claras_income_2019,cuentas_claras_income_2019,jgra-rz2t,Base ingresos cuentas claras 2019,electoral,not_in_open_data_audit,partial,promoted,not_loaded,1,0,1,20,keep,high,"Promoted and visible in dependencies/output (1 signal refs, 20 evidence refs).",https://www.datos.gov.co/d/jgra-rz2t
current_registry,dnp_project_beneficiary_characterization,dnp_project_beneficiary_characterization,tmmn-mpqc,DNP - caracterización demográfica de beneficiarios,budget,not_in_open_data_audit,partial,enrichment_only,loaded,0,0,0,0,review_context,medium,"Useful enrichment category, but no direct current signal dependency/output evidence was found.",https://www.datos.gov.co/d/tmmn-mpqc
current_registry,dnp_project_beneficiary_locations,dnp_project_beneficiary_locations,iuc2-3r6h,DNP - localización de beneficiarios,budget,not_in_open_data_audit,partial,enrichment_only,loaded,0,0,0,0,review_context,medium,"Useful enrichment category, but no direct current signal dependency/output evidence was found.",https://www.datos.gov.co/d/iuc2-3r6h
current_registry,dnp_project_contract_links,dnp_project_contract_links,,DNP - enlaces BPIN a contratos,budget,not_socrata,partial,enrichment_only,loaded,2,0,2,0,keep_context,medium,Used as optional/supporting data by 2 signal(s).,local://graph
current_registry,dnp_project_executors,dnp_project_executors,epzv-8ck4,DNP - ejecutores de proyectos,budget,not_in_open_data_audit,partial,enrichment_only,loaded,0,0,0,0,review_context,medium,"Useful enrichment category, but no direct current signal dependency/output evidence was found.",https://www.datos.gov.co/d/epzv-8ck4
current_registry,dnp_project_locations,dnp_project_locations,xikz-44ja,DNP - localización de proyectos,budget,not_in_open_data_audit,partial,enrichment_only,loaded,1,0,1,0,keep_context,medium,Used as optional/supporting data by 1 signal(s).,https://www.datos.gov.co/d/xikz-44ja
current_registry,fiscal_findings,fiscal_findings,8qxx-ubmq,Hallazgos Fiscales,sanctions,not_in_open_data_audit,partial,promoted,not_loaded,1,0,1,0,keep,high,"Promoted and visible in dependencies/output (1 signal refs, 0 evidence refs).",https://www.datos.gov.co/d/8qxx-ubmq
current_registry,fiscal_responsibility,fiscal_responsibility,jr8e-e8tu,Responsabilidad Fiscal,sanctions,not_in_open_data_audit,partial,promoted,not_loaded,1,0,1,4,keep,high,"Promoted and visible in dependencies/output (1 signal refs, 4 evidence refs).",https://www.datos.gov.co/d/jr8e-e8tu
current_registry,health_providers,health_providers,c36g-9fc2,Registro Especial de Prestadores y Sedes de Servicios de Salud,health,not_in_open_data_audit,partial,promoted,not_loaded,0,0,0,0,keep_or_fix_deps,medium,"Promoted in registry, but current signal deps/output do not clearly use it; either wire it to signals or demote it.",https://www.datos.gov.co/d/c36g-9fc2
