dataset_id,name,sector,scope,recommendation,relevance,audit_status,rows,last_update,last_update_days,update_freq,n_columns,n_meaningful_columns,columns_all,join_keys_found,join_key_classes,join_key_columns,sample_join_density,source_refs,origin_refs,signal_refs,probe_notes,url
24ny-2dhf,SECTORES CRITICOS POR EXCESO DE VELOCIDAD,Transport Sector Roadmap,colombia_open_data_audit,drop,low,valid,-1,2021-04-21,1829,,12,11,icount|id_mt|entidad|id_tramo|tipo_calz|pr|latitud|longitud|clasificacion|municipio|departamento|divipola,1,divipola,divipola:divipola,,,appendix|audit_json,,"llm_tier=context_enrichment; llm_reasoning=This dataset, detailing critical sectors by speeding excess, is unlikely to directly contain procurement or financial data. However, it could serve as contextual information to enrich other datasets b; llm_tier=context_enrichment; llm_reasoning=This dataset, detailing critical sectors by speeding excess, is unlikely to directly contain procurement or financial data. However, it could serve as contextual information to enrich other datasets b",https://www.datos.gov.co/d/24ny-2dhf
27ia-hnnb,Artesanias de Colombia S.A. - BIC. Registro Activos de información,MINCIT Sectoral Roadmap 2026,colombia_open_data_audit,drop,low,valid,-1,2022-12-20,1221,,27,27,tipo_de_proceso|proceso|sede|tipo_de_activo|nombre_de_dependecia|c_digo_oficina_productora|c_digo_serie|nombre_de_la_serie|c_digo_subserie|categoria_del_activo_nombre|descripci_n|dependencia_responsable_de|dependencia_que_custodia|idioma|medio_de_conservaci_n_y_o|formato|calificaci_n_de_la_informacion|disponible_publicada|fecha_de_generaci_n_de_la|frecuencia_de_actualizaci|objetivo_leg_timo_de_la|sustentaci_n_de_informaci|fundamento_constitucional|fundamento_juridico_de_la|excepci_n_total_o_parcial|fecha_de_la_calificaci_n|plazo_de_la_clasificaci_n,0,,,,,appendix|audit_json,,"llm_tier=context_enrichment; llm_reasoning=This dataset describes information assets and their custodians within Artesanías de Colombia. While not directly procurement or financial data, it can provide context about how information is managed,; llm_tier=context_enrichment; llm_reasoning=This dataset describes information assets and their custodians within Artesanías de Colombia. While not directly procurement or financial data, it can provide context about how information is managed,",https://www.datos.gov.co/d/27ia-hnnb
28vu-5tx7,CERTIFICACIÓN DE LA FORMACIÓN PROFESIONAL INTEGRAL,Labor,colombia_open_data_audit,drop,low,valid,-1,2024-03-14,771,,55,55,codigo_regional|nombre_regional|codigo_centro|nombre_centro|identificador_unico_ficha|fecha_inicio_ficha|fecha_terminacion_ficha|nivel_formacion|codigo_programa|nombre_programa_formacion|modalidad_formacion|codigo_departamento_curso|nombre_departamento_curso|codigo_municipio_curso|nombre_municipio_curso|total_aprendices_masculinos|total_aprendices_femeninos|gran_total_total_aprendices|tipo_poblacion__ninguna|tipo_poblacion__artesanos|tipo_poblacion__emprendedores|tipo_poblacion__microempresas|tipo_poblacion__remitidos|total_desplazados_por_la|total_desplazados_por|total_discapacitados|tipo_poblacion__dolescente|tipo_poblacion__indigenas|tipo_poblacion__inpec|tipo_poblacion__jovenes|tipo_poblacion__mujer_cabeza|tipo_poblacion__negritudes|total_adolescente_desvinculado|tipo_poblacion__tercera_edad|tipo_poblacion__adolescente|tipo_poblacion__remitidos_1|tipo_poblacion__sobrevivientes|tipo_poblacion__soldados|afrocolombianos|palenqueros|raizales|rom|despojo|actos_de_grupos_armados|amenaza|delitos_sexuales|desaparici_n_forzada|homicidio_masacre|minas_antipersonales_y|secuestro|tortura|uso_de_menores_por_grupos|herido|reclutamiento_forzado|periodo,2,divipola|entity,divipola:codigo_departamento_curso|divipola:codigo_municipio_curso|entity:codigo_regional|entity:codigo_centro,,,appendix|audit_json,,,https://www.datos.gov.co/d/28vu-5tx7
2c7k-9iru,CUPOS EN FORMACIÓN PROFESIONAL INTEGRAL POR TIPO DE POBLACIÓN,Labor Sector Roadmap,colombia_open_data_audit,candidate_context,medium,valid,-1,2024-03-14,771,,124,124,periodo|codigo_regional|nombre_regional|codigo_centro|nombre_centro|codigo_departamento_curso|nombre_departamento_curso|codigo_municipio_curso|nombre_municipio_curso|identificador_unico_ficha|codigo_programa|nombre_programa_formacion|modalidad_formacion|nivel_formacion|numero_cursos|ninguna__aprendices_masc|ninguna__aprendices_fem|ninguna__total_aprendices|artesanos__aprendices_masc|artesanos__aprendices_fem|artesanos__total_aprendices|emprendedores___aprendices|emprendedores___aprendices_1|emprendedores___total|microempresas___aprendices|microempresas___aprendices_1|microempresas___total|remitidos_por_el_cie__|remitidos_por_el_cie___1|remitidos_por_el_cie___total|total_desplazados_por_la|total_desplazados_por_la_1|total_desplazados_por_la_2|total_desplazados_por_fen|total_desplazados_por_fen_1|total_desplazados_por_fen_2|total_discapacitados|total_discapacitados_1|total_discapacitados_total|adolescente_en_conflicto|adolescente_en_conflicto_1|adolescente_en_conflicto_2|indigenas___aprendices_masc|indigenas___aprendices_fem|indigenas___total_aprendices|inpec___aprendices_masc|inpec___aprendices_fem|inpec___total_aprendices|jovenes_vulnerables__|jovenes_vulnerables___1|jovenes_vulnerables___total|mujer_cabeza_de_familia_|mujer_cabeza_de_familia__1|mujer_cabeza_de_familia__2|negro___aprendices_masc|negro___aprendices_fem|negro___total_aprendices|total_adolescente_desvinculado|total_adolescente_desvinculado_1|total_adolescente_desvinculado_2|tercera_edad___aprendices|tercera_edad___aprendices_1|tercera_edad___total|adolescente_trabajador_|adolescente_trabajador__1|adolescente_trabajador__total|remitidos_por_el_pal__|remitidos_por_el_pal___1|remitidos_por_el_pal___total|sobrevivientes_minas|sobrevivientes_minas_1|sobrevivientes_minas_2|soldados_campesinos_|soldados_campesinos__1|soldados_campesinos__total|afrocolombianos___aprendices|afrocolombianos___aprendices_1|afrocolombianos___total|palenqueros___aprendices|palenqueros___aprendices_1|palenqueros___total_aprendices|raizales___aprendices_masc|raizales___aprendices_fem|raizales___total_aprendices|rom___aprendices_masc|rom___aprendices_fem|rom___total_aprendices|despojo___aprendices_masc|despojo___aprendices_fem|despojo___total_aprendices|actos_de_grupos_armados_|actos_de_grupos_armados__1|actos_de_grupos_armados__2|amenaza___aprendices_masc|amenaza___aprendices_fem|amenaza___total_aprendices|delitos_sexuales___aprendices|delitos_sexuales___aprendices_1|delitos_sexuales___total|desaparicion_forzada__|desaparicion_forzada___1|desaparicion_forzada___total|homicidio_masacre___aprendices|homicidio_masacre___aprendices_1|homicidio_masacre___total|minas_antipersonales_y|minas_antipersonales_y_1|minas_antipersonales_y_2|secuestro___aprendices_masc|secuestro___aprendices_fem|secuestro___total_aprendices|tortura___aprendices_masc|tortura___aprendices_fem|tortura___total_aprendices|uso_de_menores_por_grupos|uso_de_menores_por_grupos_1|uso_de_menores_por_grupos_2|herido___aprendices_masc|herido___aprendices_fem|herido___total_aprendices|reclutamiento_forzado__|reclutamiento_forzado___1|reclutamiento_forzado___total|gran_total_aprendices,2,divipola|entity,divipola:codigo_departamento_curso|divipola:codigo_municipio_curso|entity:codigo_regional|entity:codigo_centro,,,appendix|audit_json,,,https://www.datos.gov.co/d/2c7k-9iru
2fn4-ai3h,Mesas Sectoriales SENA Base de Datos,Labor Sector Roadmap,colombia_open_data_audit,drop,low,valid,-1,2023-09-11,956,,9,9,c_digo_mesa_sectorial|nombre_mesa_sectorial|correo_electr_nico_mesa|ciudad_mesa_sectorial|c_digo_centro_formaci_n|centro_formaci_n|direcci_n_del_centro|localizacion|geocoded_column,0,,,,,appendix|audit_json,,"llm_tier=context_enrichment; llm_reasoning=This dataset lists sectoral tables within SENA, which could provide context for understanding labor sector initiatives and potentially identify entities involved in public procurement related to train; llm_tier=context_enrichment; llm_reasoning=This dataset lists sectoral tables within SENA, which could provide context for understanding labor sector initiatives and potentially identify entities involved in public procurement related to train",https://www.datos.gov.co/d/2fn4-ai3h
2iqs-g9cv,Funcionarios del Cuerpo Diplomático y Consular acreditado en Colombia,Foreign Affairs Sector Roadmap,colombia_open_data_audit,drop,low,valid,-1,2025-11-02,173,,9,9,continente|paisrepresenta|isopaisrepresenta|localizaci_n_pa_s_representa|nombreoficial|tipomision|acreditado|cargo|fechaacreditacion,0,,,,,appendix|audit_json,,"llm_tier=context_enrichment; llm_reasoning=This dataset provides information on foreign diplomatic and consular officials accredited in Colombia. While not directly containing procurement or financial data, it can be used to enrich other datas; llm_tier=context_enrichment; llm_reasoning=This dataset provides information on foreign diplomatic and consular officials accredited in Colombia. While not directly containing procurement or financial data, it can be used to enrich other datas",https://www.datos.gov.co/d/2iqs-g9cv
2jzx-383z,Conjunto servidores públicos,public_sector,source_registry,keep,promoted,valid,-1,2025-12-17,128,,23,23,numerodeidentificacion|nombre|sexo|iddepartamentodenacimiento|departamentodenacimiento|idmunicipiodenacimiento|municipiodenacimiento|mesesdeexperienciapublico|mesesdeexperienciaprivado|mesesdeexperienciadocente|mesesdeexperienciaindependiente|niveleducativo|codigosigep|nombreentidad|orden|idmunicipioentidad|naturalezajuridica|tipodenombramiento|niveljerarquicoempleo|denominacionempleoactual|dependenciaempleoactual|asignacionbasicasalarial|fecha_de_vinculaci_n,3,divipola|entity|nit,divipola:idmunicipioentidad|entity:idmunicipioentidad|nit:numerodeidentificacion,,sigep_public_servants,signal_deps|source_registry,sigep_public_servants,,https://www.datos.gov.co/d/2jzx-383z
2v94-3ypi,MEN_PROGRAMAS EDUCACIÓN PARA EL TRABAJO Y EL DESARROLLO HUMANO,Education,colombia_open_data_audit,candidate_context,medium,valid,-1,2025-01-14,465,,36,36,cod_sed|secretaria|codigo_institucion|nombre_institucion|codigo_programa|nombre_rpograma|cod_dpto|departamento|cod_mpio|municipio|localidad|direccion|sede|estado_programa|registro|fecha_registro|area_desempe_o|area_desempe_o_salud|tipo_certificado|subtipo_certificado|escolaridad|jornadas|costo|duraci_n_horas|numero_certificaci_n|tipo_certificaci_n|certificado_calidad|estado_certificaci_n|entidad_emisora|fecha_otorgamiento|fecha_vencimiento|latitud|longitud|a_o_corte|mes_corte|fecha_corte,2,divipola|entity,divipola:cod_dpto|divipola:cod_mpio|entity:codigo_institucion,,,appendix|audit_json,,,https://www.datos.gov.co/d/2v94-3ypi
2x55-9wxm,Resultados Saber Pro Competencias Genericas 2019-2,Education,colombia_open_data_audit,drop,low,valid,-1,2020-02-28,2247,,105,105,estu_tipodocumento|estu_nacionalidad|estu_genero|estu_fechanacimiento|estu_exterior|periodo|estu_consecutivo|estu_estudiante|estu_pais_reside|estu_disc_fisica|estu_disc_sistem|estu_disc_auditcastell|estu_disc_auditlsc|estu_disc_visualcegue|estu_disc_visualbaja|estu_disc_vozhabla|estu_disc_intelec|estu_disc_sordoceguera|estu_disc_psicosocial|estu_disc_asperger|estu_depto_reside|estu_cod_reside_depto|estu_mcpio_reside|estu_cod_reside_mcpio|estu_areareside|estu_cole_termino|estu_otrocole_termino|estu_coddane_cole_termino|estu_cod_cole_mcpio_termino|estu_valormatriculauniversidad|estu_pagomatriculabeca|estu_pagomatriculacredito|estu_pagomatriculapadres|estu_pagomatriculapropio|estu_comocapacitoexamensb11|estu_cursodocentesies|estu_cursoiesapoyoexterno|estu_cursoiesexterna|estu_simulacrotipoicfes|estu_actividadrefuerzoareas|estu_actividadrefuerzogeneric|estu_tipodocumentosb11|estu_semestrecursa|fami_educacionpadre|fami_educacionmadre|fami_estratovivienda|fami_tieneinternet|fami_tienecomputador|fami_tienelavadora|fami_tienehornomicroogas|fami_tieneserviciotv|fami_tieneautomovil|fami_tienemotocicleta|fami_tieneconsolavideojuegos|fami_cuantoscomparteba_o|fami_trabajolaborpadre|fami_trabajolabormadre|estu_horassemanatrabaja|inst_cod_institucion|inst_nombre_institucion|estu_prgm_academico|estu_snies_prgmacademico|estu_prgm_codmunicipio|estu_prgm_municipio|estu_prgm_departamento|estu_nivel_prgm_academico|estu_metodo_prgm|estu_nucleo_pregrado|estu_inst_codmunicipio|estu_inst_municipio|estu_inst_departamento|inst_caracter_academico|inst_origen|estu_privado_libertad|estu_cod_mcpio_presentacion|estu_mcpio_presentacion|estu_depto_presentacion|estu_cod_depto_presentacion|mod_razona_cuantitat_punt|mod_razona_cuantitat_desem|mod_razona_cuantitativo_pnal|mod_razona_cuantitativo_pnbc|mod_lectura_critica_punt|mod_lectura_critica_desem|mod_lectura_critica_pnal|mod_lectura_critica_pnbc|mod_competen_ciudada_punt|mod_competen_ciudada_desem|mod_competen_ciudada_pnal|mod_competen_ciudada_pnbc|mod_ingles_punt|mod_ingles_desem|mod_ingles_pnal|mod_ingles_pnbc|mod_comuni_escrita_punt|mod_comuni_escrita_desem|mod_comuni_escrita_pnal|mod_comuni_escrita_pnbc|punt_global|percentil_nbc|percentil_global|estu_inse_individual|estu_nse_individual|estu_nse_ies|estu_estadoinvestigacion,2,divipola|entity,divipola:estu_cod_reside_depto|divipola:estu_coddane_cole_termino|entity:inst_cod_institucion|divipola:estu_prgm_codmunicipio|divipola:estu_inst_codmunicipio|divipola:estu_cod_depto_presentacion,,,appendix|audit_json,,"llm_added_columns=6,classes=2; llm_tier=skip; llm_reasoning=This dataset contains information about student test results (Saber Pro) and demographic data. It does not contain any information related to public procurement, financial transactions, entity registr",https://www.datos.gov.co/d/2x55-9wxm
2zn7-bez3,Entidades Acreditadas,Labor Sector Roadmap,colombia_open_data_audit,candidate_context,medium,valid,-1,2022-04-07,1478,,13,13,nombre_de_la_organizaci_n|n_mero_nit|tipo_de_organizaci_n|cursos_aprobados|modalidad_aprobada_para_el|resoluci_n|fecha_de_vencimiento_de_la|departamento|municipio|direcci_n|tel_fono|direcci_n_web_de_la_entidad|correo_electr_nico_organizaci,1,nit,nit:n_mero_nit,,,appendix|audit_json,,"llm_tier=ingest_priority; llm_reasoning=This dataset is highly relevant as it provides a registry of accredited entities, which can be cross-referenced with procurement and financial data to identify potential conflicts of interest or entit; llm_tier=ingest_priority; llm_reasoning=This dataset is highly relevant as it provides a registry of accredited entities, which can be cross-referenced with procurement and financial data to identify potential conflicts of interest or entit",https://www.datos.gov.co/d/2zn7-bez3
